group,horizon_days,n,positive_rate,negative_rate,mean_return,median_return,avg_winner,avg_loser,median_winner,median_loser,bottom_10pct,bottom_5pct,worst_return,median_mae,median_mfe,mean_mae,mean_mfe,universe_label,bucket
D,3,1013,0.5715695952615992,0.42843040473840077,0.0008439617006896237,0.0026994756785181,0.013394789367678659,-0.0159001148412151,0.0105448154667506,-0.0100234181452587,-0.022792945699285718,-0.03418836254335194,-0.1293478260865714,-0.0100491768222248,0.0106213489109905,-0.015680609762530346,0.014087956965364808,QQQ,non_spy_etf
D,5,1013,0.581441263573544,0.4185587364264561,0.0015028539394767993,0.0041473125411486,0.017758088710771634,-0.021078120778194563,0.0139722737689576,-0.014199380538249151,-0.02841748335133974,-0.04507635986032512,-0.1354560172694968,-0.0132657042522386,0.0147783251230995,-0.020784341141329554,0.019170851291783447,QQQ,non_spy_etf
D,10,1013,0.6248766041461007,0.3751233958538993,0.003944573105510238,0.0088442512359789,0.025906121976373514,-0.032638743829375164,0.0201648643854193,-0.022389046034283898,-0.04673764637929538,-0.06396661975619414,-0.1529462738295159,-0.0198747289814739,0.0234033882514164,-0.0312694884943621,0.029157678586503335,QQQ,non_spy_etf
D,20,1013,0.6159921026653504,0.3840078973346496,0.008466174835837857,0.0142159040435403,0.04360521605904517,-0.04790082188210909,0.03621831358455145,-0.0321552713073289,-0.06300656170602778,-0.08909023463065852,-0.2817796610170002,-0.0305700908841681,0.0365853658533292,-0.04537965037632498,0.045825525669663615,QQQ,non_spy_etf
A,1,5261,0.5120699486789584,0.4879300513210416,-0.00014764666827535931,0.0003422079256905,0.008848927542155056,-0.009589318239330888,0.006684652276909,-0.0070866141731085,-0.0151674741944686,-0.0210492671566193,-0.1017070979333537,-0.0068546223997483,0.0060756697057664,-0.009471256529504543,0.00829546580932565,IWM,non_spy_etf
A,3,5261,0.5350693784451626,0.4649306215548375,0.0007196547061130851,0.0017600469336234,0.016904167039345542,-0.01790642960216548,0.0130746520464051,-0.012841725296357399,-0.0271233591229952,-0.0369415807554275,-0.1696013289035736,-0.0125988356934185,0.0122730500043548,-0.017573726579309223,0.0162481488847723,IWM,non_spy_etf
A,5,5261,0.5470442881581449,0.4529557118418552,0.0015961109512984126,0.0031975985386547,0.022316504450604336,-0.02342835085776682,0.017620193684857947,-0.0173730901931232,-0.0345316325210117,-0.0477061981454579,-0.2307920718575327,-0.0163844893494836,0.0163727959695221,-0.022968571998110504,0.021665435961005196,IWM,non_spy_etf
A,10,5261,0.5700437179243489,0.429956282075651,0.003712318466922795,0.0061621246320291,0.030666338887335817,-0.03202380321336839,0.0254204145479133,-0.0221505067746261,-0.0441697678541024,-0.0628335032078742,-0.3283391561410468,-0.0228476320169154,0.0249951181409471,-0.032396440147621726,0.03147986306400221,IWM,non_spy_etf
A,20,5261,0.6065386808591523,0.39346131914084775,0.007999868543900184,0.0134281223961394,0.04406704172325251,-0.047599334168811534,0.0373091680939323,-0.034562545641247305,-0.0613017462447168,-0.0892268694532826,-0.4045860631331704,-0.0315505132356976,0.0378142076490035,-0.045115553554658176,0.04593903000054948,IWM,non_spy_etf
B,1,1125,0.4888888888888889,0.5111111111111111,-0.0006133520414563127,-0.0001297858527159,0.007782047699357032,-0.008643734402234295,0.0063304947951643,-0.0063915142451771,-0.0149962217393271,-0.018740610301963778,-0.060773480664251,-0.0066248256620088,0.0053724053722448,-0.009024884539058415,0.007214146111534891,IWM,non_spy_etf
B,3,1125,0.5244444444444445,0.47555555555555556,0.0005604378494390327,0.0011637748629078,0.015235106803349711,-0.015622841931509191,0.011509141612128501,-0.0114462490334266,-0.02466342261808054,-0.034726652516557675,-0.1049317247776485,-0.0123685317634881,0.0114726027391587,-0.016362356828135135,0.014780032424365326,IWM,non_spy_etf
